1546,6
498,8
666,3
327,5
1766,2
1664,7
825,4
590,0
101,3
215,9
154,6
423,8
744,1
1501,1
237,5
777,4
1537,6
821,7
473,9
1329,2
99,8
796,0
1002,3
820,7
614,6
98,1
970,5
491,9
1905,3
1845,8
1559,0
1325,4
59,2
597,7
483,8
1666,9
1151,6
1184,2
1959,3
1382,5
390,0
1542,1
644,4
1392,1
558,8
769,6
776,9
1022,3
1801,4
1765,7
562,5
307,0
851,2
836,5
1984,4
583,9
983,1
1075,3
1018,2
1070,7
669,6
339,8
951,0
456,5
1091,7
37,9
1784,2
1880,3
1807,0
1000,6
1464,1
517,8
1906,4
688,7
806,8
1683,9
638,1
1829,2
1503,4
1081,5
1969,3
695,0
448,6
424,6
518,8
103,1
1010,9
1298,3
1065,7
117,5
1127,0
607,2
653,4
1113,0
1954,3
1117,5
1628,6
1839,9
414,1
703,2
686,7
840,8
347,4
213,8
355,5
911,9
381,0
1594,6
1207,4
966,1
593,2
1616,7
547,3
344,5
1452,3
1749,2
36,0
735,6
1269,9
166,1
107,8
484,7
197,4
1289,2
148,0
1672,5
1955,4
1027,7
218,9
817,1
334,8
1684,6
354,3
345,6
1328,7
959,9
306,5
973,2
1337,3
1913,0
1778,8
676,1
599,4
1711,3
1458,7
1680,6
229,5
1154,8
1912,4
1927,2
138,9
701,1
1543,0
1722,1
634,3
1237,8
1488,7
897,9
468,0
1082,5
887,6
1609,2
1008,4
1992,3
1132,6
1111,4
1063,9
843,7
691,0
1258,2
1640,5
792,1
712,8
3,4
1519,7
189,1
1533,0
24,9
852,5
1769,2
260,8
697,6
988,3
1812,9
191,6
1585,4
1042,2
1180,8
1593,1
1962,3
982,7
41,5
1879,0
478,6
81,9
1731,7
1148,0
940,1
285,5
253,4
145,8
21,2
1052,3
1456,4
1544,1
1143,2
996,3
155,9
1827,6
1230,7
1251,5
1689,0
40,8
183,9
1972,3
1936,4
564,2
1901,7
366,8
1715,6
263,1
928,5
591,0
1379,5
1601,7
1994,3
389,9
1363,2
418,6
645,8
902,0
678,1
464,4
1112,8
658,6
1857,5
819,7
501,9
1229,0
1367,1
1293,3
923,2
488,4
391,1
208,7
1733,3
1539,6
1253,9
1611,4
919,5
324,8
1603,2
1093,0
361,7
895,9
671,5
1274,8
1046,0
810,4
367,1
1036,6
1177,2
1891,3
177,7
1462,1
916,2
1239,9
50,5
550,0
222,6
1775,4
1405,8
619,3
1175,1
716,7
1168,0
216,3
1025,9
767,4
684,2
1811,5
1450,8
784,6
1438,9
1001,4
295,1
1341,7
692,0
20,8
90,6
912,5
1248,3
219,2
1921,3
1444,7
1073,1
269,6
573,8
615,9
1662,2
404,0
1724,5
1835,4
496,9
1730,0
303,5
549,7
650,1
459,6
1861,8
1263,2
465,4
411,3
274,7
506,9
1268,0
1777,4
648,2
1096,5
1086,8
877,6
1059,1
1084,3
1714,4
732,3
1740,2
1271,6
898,9
746,8
11,7
1498,1
1200,0
559,5
1167,6
210,8
742,1
1222,0
1564,4
1193,9
450,5
755,7
1831,3
1977,2
1752,3
827,6
19,7
1700,4
1692,2
1331,9
1888,0
595,8
1451,5
77,1
779,0
1763,4
64,6
364,9
1818,2
186,8
1412,3
1688,1
567,7
914,5
32,9
955,0
1580,8
833,7
1799,6
1758,2
1626,5
1918,3
720,1
730,4
113,0
1072,6
174,9
1942,3
529,8
1832,7
1149,5
1782,2
122,1
225,4
1516,6
1490,4
1824,2
841,9
1396,5
1878,0
132,8
180,1
871,7
1214,3
1067,9
377,4
1199,5
639,1
1632,7
1372,2
1776,0
1492,8
1848,3
1678,6
1221,2
325,5
